MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
ATMEGA328P-AU,,TQFP-32 ATMEGA328P-AU ATMEGA328P SOP32 Microcontroller Original Integrated Circuit,SAMIORE,3.5000,,aliexpress,"Jun 2, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8151026853529074
AD9833,,【SIMPLE ROBOT】AD9833 Programmable Microprocessors Serial Interface Module Sine Square Wave DDS Signal Generator Module GY-9833,A+A+A,2.4600,,aliexpress,"Jul 8, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8190181137409074
APA102 2020,1000pcs,50~1000Pcs pack Micro APA102 2020 LED CHIP Smart SMD RGB LED APA102 2020 256 8A LED Matrix program Software Control DC5V,JIUFENG LIGHTING,110.4800,,aliexpress,"Dec 8, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159139782129074
TC1044SEOA,,1PCS TC1044SEOA SOP8 TC1044-SEOA TC1044 SOP-8,Mao Yi IC,0.3000,,aliexpress,"Aug 30, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8154836696259074
PLP2-500,L 10MM,100PC Clear color 2.54MM-15MM LIGHT PIPE PNL MNT FOR 2MM Led Diode LED Tube Lampshade Replace PLP2-500,win-win Manufacture,12.4200,,aliexpress,"Apr 14, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8200530619599074
NYS215,"REAN NYS215, 1 PCS Connector Only",Neutrik‘s REAN 6.35mm 1/4″ Jack 3 Pole TRS Audio Stereo Socket NYS215 PCB Direct Sordering Microphone Female Jack Connector 1PCS,AVSOUND,0.4400,,aliexpress,"Mar 5, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8199036380549074
NYS215,"NYS215, 100PCS",TRS Stereo Large Three Core 6.35mm Metal Female Socket Audio Panel Mounting Connector 1/4 TRS PCB Direct Soldering Socket NYS215,Shop1104683234,68.2600,,aliexpress,"Oct 23, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8205697073419074
SA571,,5pieces SA571 SA571D SOP-16 -,Shop5078188,2.8700,,aliexpress,"Dec 29, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8160611430389074
AD9833,,AD9833 Programmable Microprocessors Serial Interface Module Sine Square Wave DDS Signal Generator Module GY-9833,MI YU KOUNG Official,2.0700,,aliexpress,"Mar 23, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8164909507609074
NYS215,,5Pcs REAN Yongsheng NYS215 large three-pin 6.35mm female socket stereo audio PCB direct welding socket 6.5 TRS HIFI accessories,Yinfonic,2.7500,,aliexpress,"Nov 20, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8195077856279074
